sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984834,spread,home,1.5,-156.0,Athletics,,Athletics,Athletics,TEX Rangers,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,spread,away,-1.5,139.0,SEA Mariners,,SEA Mariners,SD Padres,SEA Mariners,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,spread,home,1.5,-168.0,SD Padres,,SD Padres,SD Padres,SEA Mariners,DraftKings,2026-04-14T20:34:24Z
mlb,33984846,spread,away,1.5,-126.0,NY Mets,,NY Mets,LA Dodgers,NY Mets,DraftKings,2026-04-14T20:34:24Z
mlb,33984846,spread,home,-1.5,104.0,LA Dodgers,,LA Dodgers,LA Dodgers,NY Mets,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,game_total_runs,over,8.5,-120.0,,,,BAL Orioles,ARI Diamondbacks,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,game_total_runs,under,8.5,100.0,,,,BAL Orioles,ARI Diamondbacks,DraftKings,2026-04-14T20:34:24Z
mlb,33984821,game_total_runs,over,9.0,-108.0,,,,CIN Reds,SF Giants,DraftKings,2026-04-14T20:34:24Z
mlb,33984821,game_total_runs,under,9.0,-112.0,,,,CIN Reds,SF Giants,DraftKings,2026-04-14T20:34:24Z
mlb,33984822,game_total_runs,over,8.0,-105.0,,,,DET Tigers,KC Royals,DraftKings,2026-04-14T20:34:24Z
mlb,33984822,game_total_runs,under,8.0,-114.0,,,,DET Tigers,KC Royals,DraftKings,2026-04-14T20:34:24Z
mlb,33984823,game_total_runs,over,10.0,-110.0,,,,PHI Phillies,CHI Cubs,DraftKings,2026-04-14T20:34:24Z
mlb,33984823,game_total_runs,under,10.0,-110.0,,,,PHI Phillies,CHI Cubs,DraftKings,2026-04-14T20:34:24Z
mlb,33984824,game_total_runs,over,9.5,-115.0,,,,PIT Pirates,WAS Nationals,DraftKings,2026-04-14T20:34:24Z
mlb,33984824,game_total_runs,under,9.5,-105.0,,,,PIT Pirates,WAS Nationals,DraftKings,2026-04-14T20:34:24Z
mlb,33984825,game_total_runs,over,9.5,-101.0,,,,NY Yankees,LA Angels,DraftKings,2026-04-14T20:34:24Z
mlb,33984825,game_total_runs,under,9.5,-119.0,,,,NY Yankees,LA Angels,DraftKings,2026-04-14T20:34:24Z
mlb,33984826,game_total_runs,over,8.5,-118.0,,,,ATL Braves,MIA Marlins,DraftKings,2026-04-14T20:34:24Z
mlb,33984826,game_total_runs,under,8.5,-102.0,,,,ATL Braves,MIA Marlins,DraftKings,2026-04-14T20:34:24Z
mlb,33984827,game_total_runs,over,8.0,-110.0,,,,CHI White Sox,TB Rays,DraftKings,2026-04-14T20:34:24Z
mlb,33984827,game_total_runs,under,8.0,-110.0,,,,CHI White Sox,TB Rays,DraftKings,2026-04-14T20:34:24Z
mlb,33984828,game_total_runs,over,7.0,-118.0,,,,MIL Brewers,TOR Blue Jays,DraftKings,2026-04-14T20:34:24Z
mlb,33984828,game_total_runs,under,7.0,-102.0,,,,MIL Brewers,TOR Blue Jays,DraftKings,2026-04-14T20:34:24Z
mlb,33984829,game_total_runs,over,8.0,-115.0,,,,MIN Twins,BOS Red Sox,DraftKings,2026-04-14T20:34:24Z
mlb,33984829,game_total_runs,under,8.0,-105.0,,,,MIN Twins,BOS Red Sox,DraftKings,2026-04-14T20:34:24Z
mlb,33984832,game_total_runs,over,9.0,-105.0,,,,STL Cardinals,CLE Guardians,DraftKings,2026-04-14T20:34:24Z
mlb,33984832,game_total_runs,under,9.0,-115.0,,,,STL Cardinals,CLE Guardians,DraftKings,2026-04-14T20:34:24Z
mlb,33984833,game_total_runs,over,8.5,-122.0,,,,HOU Astros,COL Rockies,DraftKings,2026-04-14T20:34:24Z
mlb,33984833,game_total_runs,under,8.5,102.0,,,,HOU Astros,COL Rockies,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,game_total_runs,over,8.5,-120.0,,,,Athletics,TEX Rangers,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,game_total_runs,under,8.5,100.0,,,,Athletics,TEX Rangers,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,game_total_runs,over,7.0,-118.0,,,,SD Padres,SEA Mariners,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,game_total_runs,under,7.0,-102.0,,,,SD Padres,SEA Mariners,DraftKings,2026-04-14T20:34:24Z
mlb,33984846,game_total_runs,over,7.5,-105.0,,,,LA Dodgers,NY Mets,DraftKings,2026-04-14T20:34:24Z
mlb,33984846,game_total_runs,under,7.5,-115.0,,,,LA Dodgers,NY Mets,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,moneyline,yes,,135.0,ARI Diamondbacks,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,moneyline,yes,,-163.0,BAL Orioles,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,spread,yes,1.5,-156.0,ARI Diamondbacks,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,spread,yes,-1.5,129.0,BAL Orioles,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,game_total_runs,over,8.5,-120.0,,,,,,DraftKings,2026-04-14T20:34:24Z
